#Anno_Riferimento,Tipologia_Amministrazione,Regione_PA,Regione_Fornitore,Accordo_Quadro,Lotto,Bene_Servizio,Codice_CPV,Descrizione_CPV,Valore_economico_ordini,N_Ordini,N_PA,N_PO
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","34768,3","1","1","1"
"2018","AZIENDE ED ENTI TERRITORIALI DI SERVIZI PUBBLICI","FRIULI VENEZIA GIULIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","129969,42","2","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","MARCHE","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","2620","1","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","MARCHE","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","6410,29","1","1","1"
"2018","S.P.A. DELLO STATO E SOCIETA' PARTECIPATE STATALI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","13585,74","1","1","1"
"2018","ENTI PUBBLICI NON ECONOMICI DELLO STATO ED AUTHORITY","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","37965,65","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","1485","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","12378,26","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","1100","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","4920,24","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","891","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","6009,88","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","660","1","1","1"
"2018","CONSORZI, UNIONI DI COMUNI, COMUNITA' MONTANE E ISOLANE","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","428,76","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","196721,31","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E NON MONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","32786,88","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A RAPIDA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","32786,88","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A LUNGA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","21475,41","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A MEDIA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","14836,1","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LAZIO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","79836,1","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ FARMACI BIOLOGICI 1","EPOETINA","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","5199,7","2","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ FARMACI BIOLOGICI 1","FILGRASTIM","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","18300,7","2","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","288139,9","3","3","3"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E NON MONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","131118,72","4","4","4"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A RAPIDA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","158034,46","4","4","4"
"2018","MINISTERI E AGENZIE FISCALI","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","3077,45","2","2","2"
"2018","MINISTERI E AGENZIE FISCALI","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","32328,73","4","2","4"
"2018","MINISTERI E AGENZIE FISCALI","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","1385,24","3","2","3"
"2018","MINISTERI E AGENZIE FISCALI","VENETO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","3516","3","1","3"
"2018","MINISTERI E AGENZIE FISCALI","ABRUZZO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","235,4","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","ABRUZZO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","29,76","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","891","2","1","2"
"2018","MINISTERI E AGENZIE FISCALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","10703,38","2","1","2"
"2018","MINISTERI E AGENZIE FISCALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","220","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","SICILIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1381,92","2","1","2"
"2018","MINISTERI E AGENZIE FISCALI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","891","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","2010,88","2","2","2"
"2018","MINISTERI E AGENZIE FISCALI","CAMPANIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","539,64","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","3264,12","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","660","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","PIEMONTE","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","1669,32","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","4966,9","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","LOMBARDIA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","7,87","1","1","1"
"2018","MINISTERI E AGENZIE FISCALI","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","7077,51","2","1","2"
"2018","MINISTERI E AGENZIE FISCALI","EMILIA ROMAGNA","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","908,88","2","1","2"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","262000","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","4379025,15","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI PRESIDIO NETWORKING E TELEFONIA","72253000-3","SERVIZI DI ASSISTENZA INFORMATICA E DI SUPPORTO","377916","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","4192","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LAZIO","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","717492,36","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI SUPPORTO SISTEMISTICO","72267100-0","MANUTENZIONE DI SOFTWARE DI TECNOLOGIA DELL'INFORMAZIONE","11880","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","APPARECCHIATURE DI RETE TELEFONICA","32429000-6","APPARECCHIATURA DI RETE TELEFONICA","96354,06","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI FORMAZIONE AREA INFORMATICA - TELEMATICA","80533100-0","SERVIZI DI FORMAZIONE INFORMATICA","3740","1","1","1"
"2018","ENTI, ISTITUTI E FONDI PREVIDENZIALI","LAZIO","LOMBARDIA","AQ CENTRALI TELEFONICHE 7 ","LOTTO UNICO","SERVIZI DI MANUTENZIONE DI APPARECCHIATURE DI RETE TELEFONICA","50300000-8","SERVIZI DI RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI A PERSONAL COMPUTER, ATTREZZATURE D'UFFICIO, APPARECCHIATURE PER TELECOMUNICAZIONE E IMPIANTI AUDIOVISIVI","50682,84","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A LUNGA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","128000","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A MEDIA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","80000","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","PUGLIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","686700","3","3","3"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","UMBRIA","LAZIO","AQ STENT CORONARICI 1","BRS ? SCAFFOLD BIORIASSORBIBILI","STENT (DISPOSITIVI MEDICI IMPIANTABILI)","33184000-3","APPARECCHI PROTESICI","16000","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA NATURALE NON ASSORBIBILE PLURIFILAMENTO IN SETA PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","31960","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO A LUNGA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","185569,4","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","800365,84","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E NON MONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","140163,4","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","VENETO","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A RAPIDA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","183487,28","2","2","2"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","231605,14","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E NON MONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","20727,06","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO A RAPIDA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","15002,48","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE MONOFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A LUNGA PERDITA DI RESISTENZA TENSILE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","2634,38","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","LIGURIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA ASSORBIBILE PLURIFILAMENTO CON ANTISETTICO AD ATTIVITÀ ANTIBATTERICA A MEDIA PERDITA DI RESISTENZA TENSILE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","40029,26","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","LAZIO","AQ STENT CORONARICI 1","BRS ? SCAFFOLD BIORIASSORBIBILI","STENT (DISPOSITIVI MEDICI IMPIANTABILI)","33184000-3","APPARECCHI PROTESICI","164000","3","3","3"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","LAZIO","AQ FARMACI BIOLOGICI 1","FILGRASTIM","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","1829,97","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CALABRIA","LAZIO","AQ FARMACI BIOLOGICI 1","INFLIXIMAB","PRODOTTI FARMACEUTICI","33600000-6","PRODOTTI FARMACEUTICI","6996","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA NON ASSORBIBILE MONOFILAMENTO IN POLIAMMIDE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","10000","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA NON ASSORBIBILE MONOFILAMENTO IN POLIPROPILENE PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","60000","1","1","1"
"2018","AZIENDE OSPEDALIERE, POLICLINICI, IRCCS e ISTITUTI ZOOPROFILATTICI","CAMPANIA","LAZIO","AQ SUTURE CHIRURGICHE 1","SUTURA SINTETICA NON ASSORBIBILE PLURIFILAMENTO IN POLIESTERE RIVESTITA E PREMONTATA","SUTURE CHIRURGICHE","33141121-4","SUTURE CHIRURGICHE","60000","1","1","1"
