cod_amm	prg_srv_amm	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
c_a996	1	SERVIZIO FATTURAZIONE ELETTRONICA	FATTURAZIONE ELETTRONICA	0746578896	UFFICIO FINANZIARIO	comune.borgovelino.fatture@pec.it	pec
c_b017	1	Ufficio Anagrafe - Stato Civile - Elettorale - Leva	Ufficio Anagrafe - Stato Civile - Elettorale - Leva	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/ufficio-demografico-elettorale/	anagrafe@comune.borgosangiovanni.lo.it	altro
c_b017	2	Ufficio Servizi Scolastici e Culturali	Ufficio Servizi Scolastici e Culturali	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/Ufficio%20Servizi%20Scolastici%20e%20Culturali/	anagrafe@comune.borgosangiovanni.lo.it	altro
c_b017	3	Ufficio Ragioneria	Ufficio Ragioneria	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/ufficio-ragioneria/	ragioneria@comune.borgosangiovanni.lo.it	altro
c_b017	4	Polizia Locale	Polizia Locale	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/polizia-locale/	polizialocale@comune.borgosangiovanni.lo.it	altro
c_b017	5	Ufficio Protocollo	Ufficio Protocollo	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/ufficio-protocollo/	protocollo@comune.borgosangiovanni.lo.it	altro
c_b017	6	Ufficio Tecnico	Ufficio Tecnico		http://www.comune.borgosangiovanni.lo.it/uffici/ufficio-tecnico/	tecnico@comune.borgosangiovanni.lo.it	altro
c_b017	7	Ufficio Tributi	Ufficio Tributi	037197004	http://www.comune.borgosangiovanni.lo.it/uffici/ufficio-tributi/	ragioneria@comune.borgosangiovanni.lo.it	altro
c_b077	1	UFFICIO ELETTORALE	SERVIZIO ELETTORALE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	elettorale.boscotrecase@pec.it	pec
c_b077	10	UFFICIO URBANISTICA	SERVIZIO URBANISTICA	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	urbanistica.boscotrecase@pec.it	pec
c_b077	11	UFFICIO CED	CENTRO ELABORAZIONE DATI	0815373838	www.comune.boscotrecase.na.it	ced.boscotrecase@pec.it	pec
c_b077	2	CAPOSETTORE AFFARI GENERALI	SERVIZI GENERALI	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	affarigenerali.boscotrecase@pec.it	pec
c_b077	3	UFFICIO DI STATO CIVILE	SERVIZIO STATO CIVILE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	statocivile.boscotrecase@pec.it	pec
c_b077	4	UFFICIO ANAGRAFE	SERVIZIO ANAGRAFE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	anagrafe.boscotrecase@pec.it	pec
c_b077	5	SEGRETERIA GENERALE	SEGRETARIO GENERALE DELL'ENTE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	segretario.boscotrecase@pec.it	pec
c_b077	6	COMANDO POLIZIA LOCALE	SERVIZI DI POLIZIA LOCALE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	polizialocale.boscotrecase@pec.it	pec
c_b077	7	UFFICIO AMBIENTE	SERVIZI AMBIENTALI	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	ambiente.boscotrecase@pec.it	pec
c_b077	8	UFFICIO PERSONALE	SERVIZIO PERSONALE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	personale.boscotrecase@pec.it	pec
c_b077	9	PROTEZIONE CIVILE	SERVIZIO DI PROTEZIONE CIVILE	0815373838	WWW.COMUNE.BOSCOTRECASE.NA.IT	protezionecivile.boscotrecase@pec.it	pec
c_b089	1	Bandi e Concorsi	Il servizio permette la consultazione dei bandi e concorsi indetti dal Comune di Bormio	0342912204	http://www.cmav.so.it/portale/bandi_e_concorsi/bandi.htm	carlo.girelli@comune.bormio.so.it	altro
c_b089	2	Novita' ed Avvisi	Il servizio permette la consultazione delle novita' e degli avvisi per i cittadini del Comune di Bormio	0342912204	http://www.cmav.so.it/portale/news/news.htm	carlo.girelli@comune.bormio.so.it	altro
c_b101	1	Piattaforma Traspare - Comune di Boves	Piattaforma e-procurement		https://comuneboves.traspare.com/contacts	comune.boves.cn@cert.legalmail.it	pec
c_b109	1	fatturazione elettronica	fatturazione elettronica	014260314	www.unioneterrepo.al.it	segreteria@comune.bozzole.al.it	altro
c_b126	1	Area Economica - Finanziaria e Personale	Area Economica Finanziaria	0332770283	Area Economica Finanziaria	responsabileufficioragioneria@comune.brebbia.va.it	altro
c_b126	10	Area Segreteria	Segreteria	0332770283	Area Segreteria	segreteria@brebbia.legalmailpa.it	pec
c_b126	2	Area Servizi Demografici ed Elettorale	Demografico - Stato Civile ed Elettorale	0332770283	Area Servizi Demografici ed Elettorale	ufficidemografici@comune.brebbia.va.it	altro
c_b126	4	Area Affari Generali 	Affari Generali 	0332770283	Area Affari Generali  	segreteria@brebbia.legalmailpa.it	pec
c_b126	5	Area Servizi Sociali	Sociale	0332770283	Area Servizi Sociali	ass.servizisociali@comune.brebbia.va.it	altro
c_b126	7	Area Tecnica	Lavori Pubblici, Manutenzione, Informatica	0332770283	Area Tecnia 	infollpp@comune.brebbia.va.it	altro
c_b126	8	Area Tecnica	Edilizia Privata e Urbanistica	0332770283	Area Tecnica	ufficioediliziaprivata@comune.brebbia.va.it	altro
c_b126	9	Area Sicurezza	Area Vigilanza Amministrativa Polizia Locale	0332770886	Area Sicurezza	polizialocale@comune.brebbia.va.it	altro
c_b128	1	PagoPA	Pagamento online di alcuni servizi (Diritti di segreteria Edilizia, Fatture Impianti Sportivi, Servizi Cimiteriali, Trasporto Scolastico)	0422600153	https://www.cittadinodigitale.it/apspagopa/Payment/PagamentiAnonimiTipoPagamento	ragioneria@comunebreda.it	altro
c_b138	1	Sportello Telematico Unificato	Lo sportello telematico polifunzionale dove e' possibile presentare online le pratiche dell'Ufficio Tecnico	035623300	sportellotelematico.comune.brembatedisopra.bg.it/page/lo-sportello-telematico-unificato	pec@pec.comune.brembatedisopra.bg.it	pec
c_b138	2	Aol Anagrafe on Line	Consultazione online della banca dati anagrafica della popolazione residente e rilascio dei certificati	035623300	https://brembatedisopra.comune-online.it/web/servizi-demografici/	pec@pec.comune.brembatedisopra.bg.it	pec
c_b138	3	MoL Multe on Line	Lo sportello online dell'Ufficio di Polizia Locale dove gestire le contravvenzioni al codice della strada e i dati del conducente	035623300	https://brembatedisopra.multeonline.it/web/polizialocale/polizia-locale/	pec@pec.comune.brembatedisopra.bg.it	pec
c_b138	4	Pagamenti spontanei	Lo sportello online dove e' possibile procedere con i pagamenti spontanei tramite PagoPA	035623300	https://brembatedisopra.comune-online.it/web/pagamenti/pagamenti-spontanei	pec@pec.comune.brembatedisopra.bg.it	pec
c_b141	1	Protocollo	Servizio protocollo	097798901	www.comune.brembio.lo.it	brembio@cert.elaus2002.net	pec
c_b144	1	Servizio Affari Generali	Si occupa dei servizi demografici ed elettorali, della segreteria, dei servizi scolastici, culturali e servizi sociali	031797070	http://www.comune.brenna.co.it	segreteria@comune.brenna.co.it	altro
c_b144	2	Servizi Finanziari	Si occupa dei servizi contabili-finanziari, bilancio, economato, servizio tributi	031797070	http://www.comune.brenna.co.it	ragioneria@comune.brenna.co.it	altro
c_b144	3	Servizi Tecnici	Si occupa dei servizi urbanistica, lavori pubblici, manutenzione, edilizia privata e pubblica	031797070	http://www.comune.brenna.co.it	tecnico@comune.brenna.co.it	altro
c_b144	4	Servizio di Polizia Locale	Si occupa della vigilanza e sicurezza sul territorio	0313351516	www.comune.brenna.co.it	polizialocale@alzatebrianza.org	altro
c_b159	1	Ufficio Relazioni con il pubblico	RELAZIONI CON IL PUBBLICO	038388101	www.comune.bressanabottarone.pv.it	comune.bressanabottarone@legalpec.it	pec
c_b173	1	Arch. Giuseppe Michele Palladino	Area Tecnica	0975381003	http://www.utcbrienza.it/	gm.palladino@pec.utcbrienza.it	pec
c_b173	2	Geom. Giulio Cardone	Servizio Affari Generali	0975381003	http://www.comune.brienza.pz.it/		altro
c_b173	3	Dott. Faustina musacchio	Servizio tributi e Ragioneria	0975381003	http://www.comune.brienza.pz.it/		altro
c_b173	4	Per. ind. Raffaele Distefano	Servizio Elettorale  Commercio Anagrafe	0975381003	http://www.comune.brienza.pz.it/	raffaele.distefano@rete.basilicata.it	altro
c_b179	1	fattura elettronica	fattura elettronica	013784623	www.comune.brignanofrascata.al.it	ragioneria@comune.brignanofrascata.al.it	altro
c_b193	1	VELLUTO DOMENICO	SINDACO	085849189	VELLUTO DOMENICO	segretario@comune.brittoli.pe.it	altro
c_b194	1	Biblioteca Comunale	prestito libri	0395321377	www.comune.brivio.lc.it	biblioteca@comune.brivio.lc.it	altro
c_b215	1	posta elettronica certificata					altro
c_b223	1	Amministrazione locale	Servizi tipici offerti dal Comune	0356667715	http://www.comune.brusaporto.bg.it	urp@comune.brusaporto.bg.it	altro
c_b227	1	Settore -2	Servizi di vigilanza urbana,  randagismo, contenzioso, Protezione Civile	0818861366		protocollo@pec.comune.brusciano.na.it	pec
c_b227	10	Settore -9	da istituire	0815218111		protocollo@pec.comune.brusciano.na.it	pec
c_b227	2	Settore - 3	Gestione economica. Entrate/uscite, Tributi.	0815218247		protocollo@pec.comune.brusciano.na.it	pec
c_b227	3	Settore - 5	Commercio, Servizi Sociali, Pubblica Istruzione, Servizi Demografici	0815218220		protocollo@pec.comune.brusciano.na.it	pec
c_b227	4	Settore - 4	da istituire	0815218226		protocollo@pec.comune.brusciano.na.it	pec
c_b227	5	Settore - 8	Igiene e Ambiente, VAS, LL.PP. Manutenzione, Cimitero, Sicurezza sul Lavoro.	0815218223		protocollo@pec.comune.brusciano.na.it	pec
c_b227	6	Settore - 1	Segreteria, Risorse Umane, URP, Trasparenza.	0815218251		protocollo@pec.comune.brusciano.na.it	pec
c_b227	7	Settore - 7	da istituire	0815218238		protocollo@pec.comune.brusciano.na.it	pec
c_b227	8	Servizio Elettorale	Servizio Elettorale	0815218230	null	vincenzo.auriemma@pec.comune.brusciano.na.it	pec
c_b227	9	Settore - 6	Edilizia Privata, Pubblica Illuminazione, Espropri, Patrimonio, Informatica e Telefonia.	0815218209		protocollo@pec.comune.brusciano.na.it	pec
c_b274	1	Finanziario	Finanziario		null		altro
c_b285	1	0002	ufficio segreteria	0171948611		segreteria@comune.busca.cn.it	altro
c_b286	1	servizi alla persona	ufficio pubblica istruzione, ufficio servizi sociali, ufficio cultura sport e tempo libero	0331800161	http://www.comune.buscate.mi.it/Uffici/tabid/8528/Default.aspx?IDUfficio=903	servizipersona@comune.buscate.mi.it	altro
c_b286	2	area finanziaria e personale	ufficio ragioneria, tributi, segreteria, personale, demografici,elettorale, protocollo, archivio, economato	0331800161	http://www.comune.buscate.mi.it/Uffici/tabid/8528/Default.aspx?IDUfficio=903	ragbuscate@comune.buscate.mi.it	altro
c_b286	3	area tecnica e manutentiva	ufficio tecnico	0331800161	http://www.comune.buscate.mi.it/Uffici/tabid/8528/Default.aspx?IDUfficio=903	upbuscate@comune.buscate.mi.it	altro
c_b286	4	area polizia locale	ufficio polizia locale	0331800161	http://www.comune.buscate.mi.it/Uffici/tabid/8528/Default.aspx?IDUfficio=903	polizia.locale@comune.buscate.mi.it	altro
c_b312	1	Sito Istituzionale	Il portale informativo comunale fornisce informazioni di carattere generale sui servizi comunali (orari degli uffici, numeri di telefono, responsabili, competenze), informazioni storico-artistiche e turistiche sui monumenti e sulle bellezze del territorio comunale.	0332435813	http://www.comune.castellocabiaglio.va.it	info@comune.castellocabiaglio.va.it	altro
c_b351	1	Portale	Sportello virtuale per cittadini e imprese con contenuti e servizi istituzionali di tipo informativo e ad alto tasso di interattivita' fruibili con strumenti di autenticazione sicura (smart card CIVICARD)	0812128074	http://www.caggiano.asmezsiba.it		altro
c_b351	2	Sportello Unico per le Attivita' Produttive (SUAP)	Sistema on line regolante lo scambio di documentazione e il lavoro cooperativo tra il Comune e gli Enti terzi	0812128074	http://www.caggiano.asmezsiba.it		altro
c_b351	3	Consulta dati contributivi	Il servizio consente ai cittadini di consultare i propri dati contributivi ed effettuare il calcolo della pensione	0812128074	http://www.caggiano.asmezsiba.it		altro
c_b351	4	Sportello Unico Edilizia	Il servizio consente la gestione delle pratiche edilizie e l'interrogazione, da parte del cittadino, dell'iter procedurale	0812128074	http://www.caggiano.asmezsiba.it		altro
c_b351	5	Guida Citta'	Il servizio offre informazioni dettagliate su esercizi pubblici quali negozi, alberghi, banche, impianti sportivi, ecc. la cui ubicazione, grazie allimpiego di un GIS (Geographic Information System), viene evidenziata direttamente sulla mappa del centro abitato. Gli inserzionisti del servizio (i titolari degli esercizi commerciali) gestiscono direttamente la propria area web, aggiornando le informazioni tematiche di propria pertinenza.	0812128074	http://sit.asmez.it/siba/index.php?MAP_NAME=15065019.map		altro
c_b362	1	SETTORE 2	Ufficio Ragioneria e Tributi	0823615724	www.caiazzo.gov.it	ufficioragioneria@comune.caiazzo.ce.it	altro
c_b362	2	SETTORE 6	COMANDO POLIZIA MUNICIPALE	0823615733	www.caiazzo.gov.it	settorevigilanza@pec.comune.caiazzo.ce.it	pec
c_b362	3	SETTORE 1	Uffici amministrativi - Servizi Demografici - Commercio - Protocollo	0823615736	www.caiazzo.gov.it	ufficiosegreteria@comune.caiazzo.ce.it	altro
c_b362	4	SETTORE 3	Ufficio Tecnico - Lavori Pubblici - Programmazione - Manutenzione - Cimitero	0823615727	www.caiazzo.gov.it	lavoripubblici@comune.caiazzo.ce.it	altro
c_b362	5	SETTORE 4	Urbanistica	0823615744	www.caiazzo.gov.it	ufficiourbanistica@comune.caiazzo.ce.it	altro
c_b362	6	SETTORE 5	Igiene e ambiente - Decoro Urbano - Servizi Sociali - Promozione turistica	0823615738	www.caiazzo.gov.it	ufficioambiente@comune.caiazzo.ce.it	altro
c_b371	1	Affari generali e Risorse Umane	Segreteria generale e Risorse Umane	0818323262	www.comunedicaivano.it/uffici-orari.html	segreteria.caivano@asmepec.it	pec
c_b371	2	IV Settore Istruzione-Sport-Cultura-Spettacoli e Tutela Ambientale	Pubblica Istruzione e Sport, Scuola Materna, Biblioteca Cultura e Informagiovani, Sportello Unico Polivalente, Ecologia Sanita, Ambiente e Protezione Civile	0818360415	http://www.comunedicaivano.it/uffici-orari.html	istruzione.caivano@asmepec.it	pec
c_b371	3	V Settore Politiche Sociali	Assistenza Sociale e Scolastica	0818800810	www.comunedicaivano.it/uffici-orari.html	sociale.caivano@asmepec.it	pec
c_b371	4	VI Settore Lavori Pubblici - Manutenzioni - Urbanistica e Cimitero	Progettazione e Programmazione Opere Pubbliche, Casa-Manutenzione Immobili, Manutenzione-Servizi a Rete-Verde Pubblico, Trasporti e Mobilita, Pianificazione del Territorio, Edilizia Privata ed Abusivismo, Cimitero	0818360415	www.comunedicaivano.it/uffici-orari.html	lavpubblici.caivano@asmepec.it	pec
c_b371	5	Polizia locale	Comando, Affari Istituzionali, Attivita Produttive, Viabilita, Ambiente e Territorio	0818321245	www.comunedicaivano.it/uffici-orari.html	polizialocale.caivano@asmepec.it	pec
c_b371	6	Affari legali e contenzioso	Contenzioso e Liti	0818323240	www.comunedicaivano.it/uffici-orari.html	aa.ll.econtenzioso@asmepec.it	pec
c_b371	7	Servizi Demografici e Attivita Produttive	Stato civile, Anagrafe, Elettorale, Leva, Rilevazioni Statistiche, Informatizzazione, Attivita Produttive, Sportello Unico	0818312528	www.comunedicaivano.it/uffici-orari.html	demografici.caivano@asmepec.it	pec
c_b371	8	Ragioneria Contabilita e Tributi	Ragioneria, Patrimonio ed Economato, Tributi	0818301860	www.comunedicaivano.it/uffici-orari.html	finanze.caivano@asmepec.it	pec
c_b376	1	DANIELE LOREDANA	ANAGRAFE	014175114	https://www.comune.calamandrana.at.it/it/page/ufficio-stato-civile-306d23cb-b019-454f-8526-c941cb909983	anagrafe@comunecalamandrana.it	altro
c_b376	2	DANIELE LOREDANA	STATO CIVILE	014175114	https://www.comune.calamandrana.at.it/it/page/ufficio-stato-civile-306d23cb-b019-454f-8526-c941cb909983	anagrafe@comunecalamandrana.it	altro
c_b376	3	LOVISOLO GIUSEPPINA	UFFICIO RAGIONERIA E TRIBUTI	014175114	https://www.comune.calamandrana.at.it/it/page/servizio-ragioneria-48482be2-4719-4d37-abd0-f38326580f0b	finanze@comunecalamandrana.it	altro
c_b376	4	BEVILACQUA SALVATORE	UFFICIO TECNICO COMUNALE - EDILIZIA PRIVATA - OPERE PUBBLICHE - MANUTENZIONE STRADE E IMMOBILI - GESTIONE DEL TERRITORIO	014175114	https://www.comune.calamandrana.at.it/it/page/servizio-tecnico-suap	ufficiotecnico@comunecalamandrana.it	altro
c_b376	5	DANIELE LOREDANA	UFFICIO SEGRETERIA-CENTRALINO-SERVIZIO ELETTORALE	014175114	https://www.comune.calamandrana.at.it/it/page/centralino-segreteria-elettorale	info@comunecalamandrana.it	altro
c_b378	1	Lucia Giua	Responsabile Servizi Finanziari	0796600225	www.comune.calangianus.ot.it	ragioneria.comune.calangianus@pec.it	pec
c_b378	2	Leonardo Lutzoni 	Responsabile Ufficio Tecnico	0796600220	www.comune.calangianus.ot.it	tecnico.comune.calangianus@pec.it	pec
c_b378	3	Giuseppa Tripi	Responsabile Servizi Sociali	0796600215	www.comune.calangianus.ot.it	servizisociali.comune.calangianus@pec.it	pec
c_b378	4	PasqualinoTamponi 	Responsabile Istruzione, Cultura sport e spettacolo	0796600241	www.comune.calangianus.ot.it	istruzione.comune.calangianus@pec.it	pec
c_b378	5	Lucia Giua	Responsabile Servizio Segreteria	0796600213	www.comune.calangianus.ot.it	segreteria.comune.calangianus@pec.it	pec
c_b378	6	Gavino Piredda 	Comandante Polizia Locale	0796600219	www.comune.calangianus.ot.it	polizialocale.comune.calangianus@pec.it	pec
c_b378	7	Piera Angela Molinas	Affari Generali - Suap	0796600210	www.comune.calangianus.ot.it	affarigenerali.comune.calangianus@pec.it	pec
c_b381	1	SERVIZIO  SEGRETERIA 	SEGRETERIA GENERALE E ASSISTENZA AGLI ORGANI 	0935569128	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	2	SERVIZIO DEMOGRAFICO	ANAGRAFE STATO CIVILE	0935569100	www.comunecalascibetta.gov.it	serviziodemografico@pec.comunecalascibetta.gov.it	pec
c_b381	3	SERVIZIO PUBBLICA ISTRUZIONE POLITICHE SOCIOSANITARE SERVIZI ALLA PERSONA	ASSISTENZA	0935569126	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	4	SERVIZIO POLIZIA MUNICIPALE	VIGILI URBANI	093534878	www.comunecalascibetta.gov.it	vigili@comunecalascibetta.gov.it	altro
c_b381	5	AREA ECONOMICO FINANZIARIA 	ECONOMATO PERSONALE CONTRATTI TRIBUTI	0935569107	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	6	AREA TECNICA	SERVIZI TECNICI	0935569138	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	7	SERVIZIO URBANISTICA E CIMITERIALI	URBANISTICA E CIMITERO	0935569120	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	8	SERVIZIO LAVORI PUBBLICI PROTEZIONE CIVILE SICUREZZA SUL LAVORO 	LAVORI PUBBLICI	0935569139	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b381	9	SERVIZIO TERRITORIO E AMBIENTE EDILIZIA ECONOMICA E POPOLARE	PATRIMONIO PUBBLICA ILLUMINAZIONE	0935569137	www.comunecalascibetta.gov.it	protocollo@pec.comunecalascibetta.gov.it	pec
c_b383	1	AREA AMMINISTRATIVA E AFFARI GENERALI	AREA AMMINISTRATIVA E AFFARI GENERALI	0781887813	comune.calasetta.ci.it	protocollo@pcert.comune.calasetta.ci.it	pec
c_b383	2	AREA FINANZIARIA E TRIBUTARIA	AREA FINANZIARIA E TRIBUTARIA	0781887817	http://www.comune.calasetta.ci.it	protocollo@pcert.comune.calasetta.ci.it	pec
c_b383	3	AREA LAVORI PUBBLICI E URBANISTICA	AREA LAVORI PUBBLICI E URBANISTICA	0781887816	http://www.comune.calasetta.ci.it	protocollo@pcert.comune.calasetta.ci.it	pec
c_b383	4	AREA VIGILANZA	AREA VIGILANZA	0781899712	http://www.comune.calasetta.ci.it	protocollo@pcert.comune.calasetta.ci.it	pec
c_b384	1	S.U.A.P.	Sportello Unico Attivita' Produttive	0957771056	http://www.impresainungiorno.gov.it/web/guest/comune?codCatastale=B384	suap@pec.comune.calatabiano.ct.it	pec
c_b387	1	Ufficio Relazioni con il pubblico	Ufficio relazioni con il pubblico		www.comune.lungavilla.pv.it	comune.lungavilla@legalpec.it	pec
c_b395	1	Servizio Tecnico	Lavori Pubblici, Edilizia Privata, SUE, Urbanistica, Manutenzioni, Ecologia, Ambiente, Agricoltura, Gestione rifiuti	0363968444		loredana.volpi@comune.calcio.bg.it	altro
c_b395	2	Servizio Ragioneria e Tributi	Programmazione, Contabilita' generale, Rendicontazione, Provveditorato ed Economato, Gestione del personale, Tributi	0363968444		teresa.bottoli@comune.calcio.bg.it	altro
c_b395	3	Servizio Demografico	Anagrafe, Stato Civile, Elettorale, Leva militare, Cimitero	0363968444		info@comune.calcio.bg.it	altro
c_b395	4	Servizio Segreteria - Affari Generali	Segreteria, Rapporti con gli Organi Istituzionali, Staff del Segretario Generale, Supporto per gare e contratti, Archivio, Assicurazioni, Informatica, Controllo interno	0363968444		cinzia.bilustrini@comune.calcio.bg.it	altro
c_b395	5	Servizio Protocollo	Ricevimento e spedizione posta, Protocollazione, Pubblicazioni sul Sito internet Comunale, Albo Pretorio OnLine	0363968444		info@comune.calcio.bg.it	altro
c_b395	6	Servizio Polizia Locale	Vigilanza, Viabilita', Accertamenti violazioni codice della strada, Accertamenti di polizia giudiziaria, Commercio/Suap, Procedimenti relativi a denunce, esposti e segnalazioni, Notifiche	0363906444		info@comune.calcio.bg.it	altro
c_b395	7	Servizi alla Persona	Pubblica Istruzione, Servizi educativi, culturali, sociali, Politiche giovanili, Sport, Tempo libero, Manifestazioni, Rapporti con Enti e Associazioni	0363968444		cinzia.bariselli@comune.calcio.bg.it	altro
c_b395	8	Servizio Biblioteca	Prestito di materiale librario di proprieta' del Comune e interprestito con il Sistema bibliotecario provinciale di materiale librario e multimediale	0363968301	https://www.rbbg.it	cinzia.bariselli@comune.calcio.bg.it	altro
c_b402	1	Area Economico Finanziaria	Ragioneria, bilancio, personale, tributi	0456172371		ragioneria@comune.caldiero.vr.it	altro
c_b402	2	Area Amministrativa Affari Generali	Segreteria, Affari Generali, Protocollo, Demografico, Elettorale, Stato Civile, Istruzione, Associazioni	0457650023		segreteria@comune.caldiero.vr.it	altro
c_b402	3	Area Edilizia Pubblica	Lavori Pubblici, patrimonio, manutenzioni, servizio rifiuti solidi urbani, servizio pubblica illuminazione	0456172378		tecnico@comune.caldiero.vr.it	altro
c_b402	4	Area Urbanistica Edilizia Privata	Urbanistica, edilizia privata	0456172378		edprivata@comune.caldiero.vr.it	altro
c_b403	1	Sito web	Comunicazioni, atti e modulistica disponibile via web	0444901517	http://www.comune.caldogno.vi.it	segreteria@comune.caldogno.vi.it	altro
c_b419	1	PROTOCOLLO - MESSI	UFFICIO SEGRETERIA - PROTOCOLLO - MESSO COMUNALE	0464834116	www.comune.calliano.tn.it	protocollo.calliano@comune.calliano.tn.it	altro
c_b419	2	UFFICIO RAGIONERIA E FINANZE	UFFICIO RAGIONERIA E FINANZE	0464830557	www.comune.calliano.tn.it	ragioneria.calliano@comune.calliano.tn.it	altro
c_b419	3	UFFICIO PERSONALE	UFFICIO SEGRETERIA - PERSONALE	0464830561	www.comune.calliano.tn.it	personale.calliano@comune.calliano.tn.it	altro
c_b419	4	ANAGRAFE-STATO CIVILE-ELETTORALE	DEMOGRAFICA - STATO CIVILE - ELETTORALE - LEVA - COMMERCIO	0464830558	www.comune.calliano.tn.it	anagrafe.calliano@comune.calliano.tn.it	altro
c_b419	5	UFFICIO TECNICO COMUNALE - EDILIZIA PUBBLICA E PRIVATA	UFFICIO TECNICO COMUNALE	0464830559	www.comune.calliano.tn.it	privata@comune.calliano.tn.it	altro
c_b419	6	SCUOLA MATERNA PASQUALI DI CALLIANO	SCUOLA DELL'INFANZIA	0464835165			altro
c_b419	7	ASILO NIDO DI CALLIANO	ASILO NIDO	0464834429			altro
c_b452	1	Uff_eFatturaPA	SERVIZIO FATTURAZIONE ELETTRONICA	08119850473	http://www.indicepa.gov.it/IPA2/Ipa_Servlet?op=verificaMailNuovoServizioAdmin&pulsante=mail	fatturecalvizzano@pec.it	pec
c_b466	1	DE TOLLIS ANNA MADDALENA	ELETTORALE, STATO CIVILE	0874890059		santelenanna@tiscali.it	altro
c_b470	1	Comune di Camerata Picena	Contatti: casella PEO (posta elettronica ordinaria) e numero di telefono del comune	071947031	http://www.comune.cameratapicena.an.it/	comune@comune.cameratapicena.an.it	altro
c_b492	1	Servizio Ricostruzione	Pratiche connesse alla Legge 32/92 (ex 219/81)	0828241293		ricostruzione@pec.comune.campagna.sa.it	pec
c_b492	2	Lavori Pubblici e Servizi	Esecuzione opere pubbliche e Gestione Servizi	0828241280		lavoripubblici@pec.comune.campagna.sa.it	pec
c_b492	3	Edilizia Privata_Urbanistica	Pratiche afferenti l'edilizia DPR 380/2001	0828241228	www.comune.campagna.sa.it	urbanistica@pec.comune.campagna.sa.it	pec
c_b492	4	SERVIZI SOCIALI	Servizi di Prestazioni Sociali Agevolate	0828241226	www.comune.campagna.sa.it	servizisociali@pec.comune.campagna.sa.it	pec
c_b492	5	AREA ECONOMICO-FINANZIARIA	SERVIZI FINANZIARI	0828241236		ragioneria@pec.comune.campagna.sa.it	pec
c_b492	6	Segreteria	Servizi amministrativi connessi all'Ente	0828241202		segreteria@pec.comune.campagna.sa.it	pec
c_b492	7	Manutenzione_Servizi	Manutenzione Patrimonio - Manutenzione Servizio Idrico_Fognario e Gestione Servizio RSU			antonino.reppuccia@comune.campagna.sa.it	altro
c_b492	8	Servizi Demografici	Anagrafe - Stato Civile - Elettorale	0828241276	www.comune.campagna.sa.it	elettorale@pec.comune.campagna.sa.it	pec
c_b494	1	Portale	Sportello virtuale per cittadini e imprese con contenuti e servizi istituzionali di tipo informativo e ad alto tasso di interattivita' fruibili con strumenti di autenticazione sicura (smart card CIVICARD)	0812128074	http://www.castelcampagnano.asmezsiba.it		altro
c_b494	2	Guida Citta'	Il servizio offre informazioni dettagliate su esercizi pubblici quali negozi, alberghi, banche, impianti sportivi, ecc. la cui ubicazione, grazie allimpiego di un GIS (Geographic Information System), viene evidenziata direttamente sulla mappa del centro abitato. Gli inserzionisti del servizio (i titolari degli esercizi commerciali) gestiscono direttamente la propria area web, aggiornando le informazioni tematiche di propria pertinenza.	0812128074	http://sit.asmez.it/siba/index.php?MAP_NAME=15061023.map		altro
c_b494	3	Consulta dati contributivi	Il servizio consente ai cittadini di consultare i propri dati contributivi ed effettuare il calcolo della pensione	0812128074	http://www.castelcampagnano.asmezsiba.it		altro
c_b508	1	Comune di Campiglia Cervo	Contatti: numero di telefono del comune e casella PEO (Posta Elettronica Ordinaria)	01560023	http://www.comune.campigliacervo.bi.it	campiglia@ptb.provincia.biella.it	altro
c_b509	1	Servizi on line	Accesso agli atti, Gare e concorsi, Gare on line, Pagamenti on line, Sistema Informativo Territoriale, Statistiche demografiche, Trasparenza, valutazione e merito	0565839204	www.comune.campigliamarittima.li.it	l-grandi@comune.campigliamarittima.li.it	altro
c_b513	1	FATTURAZIONE	Fattura Elettronica	031272463		protocollo.pec@comunecampione.it	pec
