cod_ou	cod_amm	prg_srv_ou	nome_srv	des_srv	tel_srv	uri_srv	mail_srv	tipo_mail
910	age	1	marche.agenziaentrate.it	SITO WEB		http://marche.agenziaentrate.it		altro
910	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
910	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
910	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
910	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
910	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.marche@postacert.agenziaentrate.it	pec
911	age	1	toscana.agenziaentrate.it	SITO WEB		http://toscana.agenziaentrate.it		altro
911	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
911	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
911	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
911	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
911	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.toscana@postacert.agenziaentrate.it	pec
912	age	1	umbria.agenziaentrate.it	SITO WEB		http://umbria.agenziaentrate.it		altro
912	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
912	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
912	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
912	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
912	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.umbria@postacert.agenziaentrate.it	pec
913	age	1	lazio.agenziaentrate.it	SITO WEB		http://lazio.agenziaentrate.it		altro
913	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
913	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
913	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
913	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
913	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.lazio@postacert.agenziaentrate.it	pec
914	age	1	campania.agenziaentrate.it	SITO WEB		http://campania.agenziaentrate.it		altro
914	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
914	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
914	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
914	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
914	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.campania@postacert.agenziaentrate.it	pec
915	age	1	abruzzo.agenziaentrate.it	SITO WEB		http://abruzzo.agenziaentrate.it		altro
915	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
915	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
915	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
915	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
915	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.abruzzo@postacert.agenziaentrate.it	pec
916	age	1	molise.agenziaentrate.it	SITO WEB		http://molise.agenziaentrate.it		altro
916	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
916	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
916	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
916	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
916	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.molise@postacert.agenziaentrate.it	pec
917	age	1	puglia.agenziaentrate.it	SITO WEB		http://puglia.agenziaentrate.it		altro
917	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
917	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
917	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
917	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
917	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.puglia@postacert.agenziaentrate.it	pec
918	age	1	basilicata.agenziaentrate.it	SITO WEB		http://basilicata.agenziaentrate.it		altro
918	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
918	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
918	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
918	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
918	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.basilicata@postacert.agenziaentrate.it	pec
919	age	1	calabria.agenziaentrate.it	SITO WEB		http://calabria.agenziaentrate.it		altro
919	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
919	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
919	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
919	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
919	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.calabria@postacert.agenziaentrate.it	pec
920	age	1	sicilia.agenziaentrate.it	SITO WEB		http://sicilia.agenziaentrate.it		altro
920	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
920	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
920	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
920	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
920	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.sicilia@postacert.agenziaentrate.it	pec
921	age	1	sardegna.agenziaentrate.it	SITO WEB		http://sardegna.agenziaentrate.it		altro
921	age	2	FISCO ON LINE	Servizi che consentono di versare le imposte, presentare dichiarazioni ed altri atti e consultare i propri dati fiscali direttamente da casa.		http://telematici.agenziaentrate.gov.it		altro
921	age	3	ENTRATEL	Servizi on line per intermediari e particolari categorie di utenti.		http://telematici.agenziaentrate.gov.it		altro
921	age	4	SIATEL v2.0 PUNTOFISCO	Servizi on line per I Comuni - Le Province - Le Regioni - I Consorzi di bonifica - Le Comunita' montane - Altri Enti territoriali.		https://puntofisco.agenziaentrate.it		altro
921	age	5	Call Center	Servizio di assistenza telefonica.	848800444			altro
921	age	6	Voluntary Disclosure	La collaborazione volontaria  (voluntary disclosure) permette ai contribuenti di regolarizzare la propria posizione denunciando spontaneamente la violazione degli obblighi di monitoraggio dei patrimoni detenuti illecitamente in paesi esteri. 		http://www.agenziaentrate.gov.it/wps/content/Nsilib/Nsi/Home/CosaDeviFare/Richiedere/Collaborazione+volontaria+%28voluntary+disclosure%29/Infogen+Collaborazione+volontaria/	vd.sardegna@postacert.agenziaentrate.it	pec
94020891140111	cdc	1	Trasmissione Atti tramite Posta Elettronica Certificata (cliccare qui)	La Sezione Giurisdizionale regionale per il Lazio ha attivato in via sperimentale l'utilizzo della Posta Elettronica Certificata per l'invio delle richieste di deposito degli "Atti" presso la Sezione. In ogni caso il deposito informatico, in questa fase di sperimentazione, non sostituisce il deposito cartaceo. 		http://www.corteconti.it/sezioni_regionali/attivita_giurisdizionale/lazio/		altro
A002	istsc_rmic8dr00r	1	Segreteria Personale-Protocollo-Alunni	GESTIONE CONTABILE E GIURIDICA	069538115		rmic8dr00r@istruzione.it	altro
A1	c_l017	1	ASS. ORGANI ISTITUZIONALI - PROTOCOLLO - SERVIZI CIMITERIALI	S1,2,3 ASS. ORGANI ISTITUZIONALI - PROTOCOLLO - SERVIZI CIMITERIALI	0761601212		m.castori@comune.sutri.vt.it	altro
A1	c_l017	2	SERVIZI DEMOGRAFICI ANAGRAFE, STATO CIVILE, ELETTORALE	S4 - SERVIZI DEMOGRAFICI ANAGRAFE, STATO CIVILE, ELETTORALE	0761601231		anagrafe@comune.sutri.vt.it	altro
A1	c_l017	3	SERVIZI ALLA PERSONA, PUBBLICA ISTRUZIONE, TEMATICHE GIOVANILI, TURISMO, SPORT, SPETTACOLO	S5.6.7 SERVIZI ALLA PERSONA, PUBBLICA ISTRUZIONE, TEMATICHE GIOVANILI, TURISMO, SPORT, SPETTACOLO	0761601212		m.castori@comune.sutri.vt.it	altro
A1A	c_h628	1	Movimenti migratori	Movimenti migratori dell'anagrafe della popolazione residente	0522622252	null	anagrafe.rubiera@pcert.postecert.it	pec
A1A	c_h628	2	Verifiche dati anagrafici residenti	Acquisizione d'ufficio delle informazioni sui residenti a Rubiera (solo per pubbliche amministrazioni e gestori di pubblici servizi) anche ai sensi dell'articolo 43 del d.p.r. 445/2000		https://ana-cner.lepida.it/Accerta/home.do	anagrafe@comune.rubiera.re.it	altro
A2	c_b687	1	modulistica	modulistica unificata per la presentazione della DIA e per la richiesta di Permesso di Costruire	069584031	http://www.comunecapranicaprenestina.it/modulistica_area2.htm	ufficiotecnico@comunecapranica.com	altro
A331	c_h264	1	Portale Sportello Unico per l'Edilizia e le Attivita' produttive	Presentazione e consultazione pratiche edilizie	0293332274	https://www.rho.cportal.it/	pec.sportelloedilizia.comunerho@legalmail.it	pec
A332	c_h264	1	Portale Sportello Unico per l'Edilizia e le Attivita' produttive	Presentazione e consultazione pratiche commerciali	0293332274	https://www.rho.cportal.it/	pec.suap.comunerho@legalmail.it	pec
A4	p_ch	1	Viabilita'	Servizio Viabilita' - 06011	08714081		giancarlo.moca@pec.provincia.chieti.it	pec
A4	p_ch	2	Appalti	Servizio Gare e Appalti - Viabilita' ed Edilizia	08714081		servizio.appalti@pec.provincia.chieti.it	pec
A4	p_ch	3	Trasporti	Servizio Trasporti	08714081		servizio.trasporti@pec.provincia.chieti.it	pec
A4	p_ch	4	Concessioni e Espropri	Concessioni e Espropri - 01052	08714081		concessioni.espropri@pec.provincia.chieti.it	pec
A4	p_ch	5	Edilizia	Servizio Edilizia	08714081		giancarlo.moca@pec.provincia.chieti.it	pec
a462uo18	c_a462	1	Sportello Unico per l'edilizia					altro
A5	c_h628	1	suap	Sportello unico attivita' produttive		http://suaper.lepida.it/people/framework/pratica.html	suap@cert.comune.rubiera.re.it	pec
AA	iacpct	1	SERVIZIO CESSIONI IMMOBILI	GESTIONE VENDITA ALLOGGI ERP	0957302271	www.iacpcatania.it	srusso@iacpcatania.it	altro
AA	iacpct	2	SERVIZIO INQUILINATO	GESTIONE INQUILINATO	0957302213	www.iacpcatania.it	pgiambarveri@iacpcatania.it	altro
AA	iacpct	3	SERVIZIO MOROSITA' E GESTIONE CANONI	GESTIONE MOROSITA' E GESTIONE CANONI	0957302277	www.iacpcatania.it	g.marzagalli@iacpcatania.it	altro
AA003	c_f830	1	Protocollo  informatico- Ufficio SUAP	Ufficio SUAP	0934961305	www.comune.mussomeli.cl.it	suap.comunemussomeli@legalmail.it	pec
AA978	c_a978	1	FINANZIARIO 	FINANZIARIO - SOCIO CULTURALE E TRIBUTI 	079867894	www.comune.bonorva.ss.it	finanziario@comune.bonorva.ss.it	altro
AAEF	cm_caste	1	SUAP	SPORTELLO UNICO ATTIVITA' PRODUTTIVE IN SERVIZIO ASSOCIATO	069470820	http://asp.urbi.it/urbi/progs/urp/solhome.sto?DB_NAME=n1200869	servizio.suap@pec.cmcastelli.it	pec
AAEF	cm_caste	2	LOTTA AL RANDAGISMO	SERVIZIO DI MICROCHIPPATURA CANINA GRATUITA E STERILIZZAZIONE GATTI APPARTENENTI A COLONIE FELINE RICONOSCIUTE DALLA ASL COMPETENTE	069470820	http://cmcastelli.it/servizi-associati/566-prenotazioni-ambulatorio-veterinario/	randagismo@cmcastelli.it	altro
AAGG	cdtdr	1	Segreteria generale	Servizi di segreteria	0532844411		comune.terredelreno@pec.it	pec
AAGG	un_agora	1	Servizi a domanda individuale 	Iscrizione ai servizi a domanda individuale	038376130	https://asp.urbi.it/urbi/progs/urp/solhome.sto?DB_NAME=N1200128	unioneagora@legalpec.it	pec
AAGG	c_g353	1	Segreteria, Attivita' Sportive	Segreteria di Sindaco ed Assessori, Attivita' e Strutture Sportive	0434614323		segreteria.sindaco@comune.pasianodipordenone.pn.it	altro
AAGG	c_g184	1	Servizio Contratti		0533683914		contratti@comune.ostellato.fe.it	altro
AAGG	c_g353	2	Ufficio Cultura	Gestione delle Attivita' Culturali	0434614360		cultura@comune.pasianodipordenone.pn.it	altro
AAGG	un_agora	2	Servizi a domanda individuale	Mensa e trasporto	038376130	https://asp.urbi.it/urbi/progs/urp/solhome.sto?DB_NAME=N1200128	unioneagora@legalpec.it	pec
AAGG	c_g184	2	Servizio Pubblica Istruzione e SS.SS.		0533683928		istruzione@comune.ostellato.fe.it	altro
AAGG	cdtdr	2	Segreteria particolare	Segreteria del Sindaco e degli Organi politici	0532844415		segreteriaparticolare@comune.terredelreno.fe.it	altro
AAGG	c_g184	3	Servizio Protocollo		0533683913		protocollo@comune.ostellato.fe.it	altro
AAGG	c_g353	3	Ufficio Informatico	Servizi Informatici	0434614370		informatica@comune.pasianodipordenone.pn.it	altro
AAGG	cdtdr	3	Protocollo ed archivio	Servizi di protocollo ed archiviazione atti	0532844434		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	un_agora	3	Visione protocolli	Visione protocolli area riservata	038376130	https://asp.urbi.it/urbi/progs/urp/solhome.sto?DB_NAME=N1200128	unioneagora@legalpec.it	pec
AAGG	c_g353	4	Ufficio Protocollo	Gestione Protocollo	0434614311		protocollo@comune.pasianodipordenone.pn.it	altro
AAGG	c_g184	4	Servizio Segreteria		0533683914		segreteria@comune.ostellato.fe.it	altro
AAGG	un_agora	4	Servizi on line	Simulazione calcolo ISEE		https://asp.urbi.it/urbi/progs/urp/solhome.sto?DB_NAME=N1200128		altro
AAGG	cdtdr	4	Centralino	Ricezione e smistamento telefonate	0532844411		giulianacremonini@comune.terredelreno.fe.it	altro
AAGG	cdtdr	5	URP	Ufficio relazioni con il Pubblico	0532844411		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	c_g353	5	Biblioteca Civica	Biblioteca Civica, Via Olivo Maronese n. 2.	0434625426		biblioteca@comune.pasianodipordenone.pn.it	altro
AAGG	c_g353	6	Pubblica Istruzione	Gestione Istruzione	0434614322		istruzione@comune.pasianodipordenone.pn.it	altro
AAGG	cdtdr	6	Trasparenza	Adempimenti normativi in tema di trasparenza amministrativa	053284496		segretariocomunale@comune.terredelreno.fe.it	altro
AAGG	cdtdr	7	Contratti	Ausilio ai servizi dell' Ente nella redazione dei contratti	0532844411		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	cdtdr	8	Biblioteca, cultura e turismo	Gestione delle biblioteche e delle iniziative culturali dell' ente, promozione turistica	0532844434		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	cdtdr	9	Gemellaggi	Gestione rapporti di gemellaggio	0532844434		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	cdtdr	10	CED	Gestione servizi informatici dell' Ente	0532844433		segreteriagenerale@comune.terredelreno.fe.it	altro
AAGG	cdtdr	11	Vicesegretario Comunale	Ausilio e sostituzione del Segretario Comunale	0532844433		barbarazanoni@comune.terredelreno.fe.it	altro
AAGG	cdtdr	12	Anticorruzione	Ausilio e supporto al responsabile anticorruzione	0532844411		segreteriagenerale@comune.terredelreno.fe.it	altro
AB978	c_a978	1	TECNICO	LAVORI PUBBLICI E MANUTENZIONI	079867894	www.comune.bonorva.ss.it	lavoripubblici@comune.bonorva.ss.it	altro
abr_d02_s05	cr_abbru	1	Schede tecniche attivita' legislativa	Consultazione delle schede tecniche predisposte a supporto dell'attivita' legislativa		http://www.consiglio.regione.abruzzo.it/legislativo/schede/ricerca.htm		altro
AC	iacpct	1	SERVIZIO TESORERIA ED ECONOMATO	GESTIONE TSORERIA ED ECONOMATO	0957302234	www.iacpcatania.it	rscuto@iacpcatania.it	altro
AC	iacpct	2	SERVIZIO PERSONALE E FORMAZIONE	GESTIONE GIURIDICA ED ECONOMICA DELLE RISORSE UMANE	0957302236	www.iacpcatania.it	idugo@iacpcatania.it	altro
AC	iacpct	3	SERVIZIO BILANCIO E CONTABILITA'	GESTIONE DELLA CONTABILITA' FINANZIARIA ECONOMICA PATR.	0957302215	www.iacpcatania.it	fdicataldo@iacpcatania.it	altro
AC978	c_a978	1	URBANISTICA	URBANISTICA 	079867894	www.comune.bonorva.ss.it	urbanistica@comune.bonorva.ss.it	altro
AD978	c_a978	1	AMMINISTRATIVO	SEGRETERIA - PROTOCOLLO - DEMOGRAFICI	079867894	www.comune.bonorva.ss.it	amministrativo@comune.bonorva.ss.it	altro
AF	c_i785	1	SEBASTIANA	CARPINTERI	0931921380		affarifinanziari@solarino-pec.it	pec
AffariGenerali	c_b216	1	Ufficio Scuola	Scuola, Sport, Politiche Sociali	0119094424	http://www.comune.bruino.to.it/istruzione/scuola.htm	scuola.sport@comune.bruino.to.it	altro
AffariGenerali	p_so	1	Dirigente del Settore Affari Generali e Risorse Finanziarie	Settore Affari Generali, Risorse Finanziarie	390342531292		Pieramos.Cinquini@provincia.so.it	altro
AffariGenerali	c_b216	2	Protocollo	Protocollo, Archivio	0119094422	http://www.comune.bruino.to.it/index.html	comune@comune.bruino.to.it	altro
AffariGenerali	c_b216	3	Segreteria del Sindaco	Segreteria del Sindaco	0119094431	http://www.comune.bruino.to.it/index.html	comune@comune.bruino.to.it	altro
AffariGenerali	c_b216	4	Demografici	Servizi Demografici	0119094456	http://www.comune.bruino.to.it/servizi-demografici/anagrafe/anagrafe.htm	anagrafe@comune.bruino.to.it	altro
AffariGenerali	c_b216	5	Biblioteca	Biblioteca	0119094426	http://www.comune.bruino.to.it/istruzione/biblioteca.htm	biblioteca@comune.bruino.to.it	altro
AffariGenerali	c_b216	6	Commercio	Ufficio Commercio	0119094421	http://www.comune.bruino.to.it/produzione-commercio/commercio.htm	commercio@comune.bruino.to.it	altro
affarigenpolizia	c_h163	1	domanda immatricolazione veicoli a trazione animale	Domanda per l'immatricolazione e il rilascio della targa di riconoscimento, per i veicoli a trazione animale	0932676738	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/01immatricolazione.html	segreteria.pm@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	2	informazioni verbali	Informazioni pagamento verbali	0932676745	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/05pag_verb.html	verbali.ced@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	3	istanza annullamento cartella esattoriale	Istanza annullamento in autotutela cartella esattoriale	0932676735	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/06ricorso_avv_esatt.html	ricorsi.pm@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	4	licenza taxi e noleggio con conducente	Licenza taxi e autorizzazioni noleggio con conducente	0932676738	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/07taxi_nolcondu.html	segreteria.pm@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	5	richiesta affidamento custodia veicoli	Richiesta affidamento custodia veicoli	0932676745	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/02affid_veicoli.html	verbali.ced@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	6	autorizzazione demolizione veicolo rimossso	Richiesta di autorizzazione per demolizione ad un veicolo rimosso	0932676735	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/08demolizione.html	verbali.ced@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	7	richiesta rateizzazione verbale	Richiesta rateizzazione verbale	0932676735	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/03rateiz_verb.html	verbali.ced@comune.ragusa.gov.it	altro
affarigenpolizia	c_h163	8	ricorso  verbali 	Ricorso avverso verbali del C.D.S.	0932676735	http://www.comune.ragusa.gov.it/comune/uffici/sett09/01/04verb_cds.html	ricorsi.pm@comune.ragusa.gov.it	altro
affari_generali	c_b513	1	FATTURAZIONE	Fatturazione elettronica			protocollo.pec@comunecampione.it	pec
AFFGEN	c_g878	1	AFFARI GENERALI	AFFARI GENERALI,SEGRETERIA, ANAGRAFE, ELETTORALE, SOCIALI	0859870522	http://www.comune.popoli.pe.it	b.dellarocca@comune.popoli.pe.it	altro
affgen	c_b812	1	segreteria	Ufficio Segreteria	0523853706	http://www.comune.carpaneto.pc.it/servizi/Menu/dinamica.aspx?idSezione=616&idArea=8882&idCat=18008&ID=18083&TipoElemento=categoria	segreteria@comune.carpaneto.pc.it	altro
affgen	c_b812	2	messi	Ufficio Messi	0523853700	http://www.comune.carpaneto.pc.it/servizi/Menu/dinamica.aspx?idSezione=616&idArea=8882&idCat=18008&ID=18083&TipoElemento=categoria	messo@comune.carpaneto.pc.it	altro
affgen	c_b812	3	prot	Ufficio Protocollo	0523853733	http://www.comune.carpaneto.pc.it/servizi/Menu/dinamica.aspx?idSezione=616&idArea=8882&idCat=18008&ID=18083&TipoElemento=categoria	protocollo@comune.carpaneto.pc.it	altro
